event_id,event_name,event_date,url_link
55,UFC Fight Night: Sandhagen vs. Font,2023-08-05,http://www.ufcstats.com/event-details/6f81b6de2557739a
56,UFC 291: Poirier vs. Gaethje 2,2023-07-29,http://www.ufcstats.com/event-details/ccd58ff71e260ed5
57,UFC Fight Night: Aspinall vs. Tybura,2023-07-22,http://www.ufcstats.com/event-details/1174782eacde9b0c
58,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,http://www.ufcstats.com/event-details/c9885b1b7c7055a0
59,UFC 290: Volkanovski vs. Rodriguez,2023-07-08,http://www.ufcstats.com/event-details/6085ceb59087514b
60,UFC Fight Night: Strickland vs. Magomedov,2023-07-01,http://www.ufcstats.com/event-details/e9e1acc96536bb4f
61,UFC Fight Night: Emmett vs. Topuria,2023-06-24,http://www.ufcstats.com/event-details/a780d16cf7eed44d
62,UFC Fight Night: Vettori vs. Cannonier,2023-06-17,http://www.ufcstats.com/event-details/b9415726dc3ec526
63,UFC 289: Nunes vs. Aldana,2023-06-10,http://www.ufcstats.com/event-details/b6c6d1731ff00eeb
64,UFC Fight Night: Kara-France vs. Albazi,2023-06-03,http://www.ufcstats.com/event-details/7abe471b61725980
65,UFC Fight Night: Dern vs. Hill,2023-05-20,http://www.ufcstats.com/event-details/6f812143641ceff8
66,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13,http://www.ufcstats.com/event-details/901cddcbfa079097
67,UFC 288: Sterling vs. Cejudo,2023-05-06,http://www.ufcstats.com/event-details/3c6976f8182d9527
68,UFC Fight Night: Song vs. Simon,2023-04-29,http://www.ufcstats.com/event-details/51b1e2fd9872005b
69,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22,http://www.ufcstats.com/event-details/6fb1ba67bef41b37
70,UFC Fight Night: Holloway vs. Allen,2023-04-15,http://www.ufcstats.com/event-details/15b1b21cd743d652
71,UFC 287: Pereira vs. Adesanya 2,2023-04-08,http://www.ufcstats.com/event-details/3dc3022232b79c7a
72,UFC Fight Night: Vera vs. Sandhagen,2023-03-25,http://www.ufcstats.com/event-details/aec273fcb765330d
73,UFC 286: Edwards vs. Usman 3,2023-03-18,http://www.ufcstats.com/event-details/e4bb7e483c4ad318
74,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11,http://www.ufcstats.com/event-details/35080a7f406f9ab3
75,UFC 285: Jones vs. Gane,2023-03-04,http://www.ufcstats.com/event-details/1ccff7f0cfdf85eb
